name,testGroup,vxRef,yawRateRef,yawRateRmse,yawRmseDeg,vxRmse,actualRadius,referenceRadius,maxAbsLateralPosition,maxAbsLateralVelocity,maxAbsYawDeg,finalYawDeg,actualLeftWheelSpeed,actualRightWheelSpeed,referenceLeftWheelSpeed,referenceRightWheelSpeed,actualWheelSpeedDifference,referenceWheelSpeedDifference,wheelDirectionCorrect,meanLongitudinalWrenchDifference,maxAbsLongitudinalWrenchDifference,maxAbsVerticalWrenchDifference,maxAbsContactForceDifferenceX,maxAbsContactForceDifferenceY,maxAbsContactForceDifferenceZ,maxAbsRollDeg,maxAbsPitchDeg,maxAbsXiDelta,finalXiDelta,finalDxiDelta,finalAbsYawRate,maxWrenchSlackNorm,maxRollingResidual,maxLateralResidual,maxNormalResidual,qpFeasibleRatio,maxDynamicsResidual,maxWrenchResidual,minFrictionMargin,minTorqueMargin,nmpcStatusMax,nmpcFaultRatio,maxNmpcSolveTimeMs,maxQpSolveTimeMs,simulationWallTime,stable,failureReason,mirrorYawRateRmseDifference,mirrorXiPeakDifference,mirrorWheelDifferenceMagnitudeError
T1_low_small,T1,0.05,0.03,0.00129438028551053,0.0361132505735739,0.00784503260738771,1.97236878513159,1.6812685242681,0.0207134904152311,0.00589253194808044,4.2958049112632,4.26226456863966,0.0500636839682735,0.0664639812952847,0.0440195439966499,0.0559804560033495,0.0164002973270113,0.0119609120066968,1,0.0222014169306573,0.100209163881433,0.0972680059305873,0.104581510809671,0.00184099405046255,0.0988927111690217,0.0567450882305163,0.282531539901045,0.00688609169675969,-0.00628777189308515,-0.00146974686715056,0.0017504221731444,0.000508639121828008,0.0152566253715056,0.0233426484620054,0.0843493844900238,1,8.5265128291212e-14,4.37653385754189e-14,11.745580352771,44.9599351827136,0,0,5.5711,1.7205,14.7282892,1,ok,NaN,NaN,NaN
T2_left,T2_T3,0.1,0.05,0.00221860563662561,0.0700556274751741,0.0156205838444698,2.37168010460089,2.01752222912173,0.0633136640550465,0.0155255818849035,7.19782311752216,7.14156600281059,0.106064918991694,0.131979210868399,0.0900175321264615,0.109982467873548,0.0259142918767058,0.0199649357470836,1,0.0431646960087135,0.16363086092424,0.127104521827214,0.170552762762204,0.00757298703427811,0.12741758650747,0.117303286199871,0.577708133699648,0.0135349781890136,-0.00715686743123832,0.00248070626445232,0.00579942422009369,0.000981232233518846,0.0304065920878541,0.0545126694480859,0.165905575350929,1,8.5265128291212e-14,4.74754784096643e-14,11.4668869007183,44.9217106973949,0,0,4.8841,1.6302,13.4861998,1,ok,4.53891541561491e-05,6.12651486471827e-05,0.000707532334185166
T2_right,T2_T3,0.1,-0.05,0.00226399479078176,0.0689400217987916,0.0156207156223646,-2.3718053056777,-2.01752222912173,0.0632456992864539,0.0154968486060651,7.18497557458363,-7.14518502065096,0.130427485841125,0.105220726298604,0.109956072716256,0.0900439272837543,-0.0252067595425206,-0.019912145432498,1,-0.0427560974983697,0.16363086091773,0.155287145205534,0.170552762757282,0.00758501682747601,0.154158341135748,0.117172246988269,0.57776199198161,0.0135962433376607,0.00782121151695578,-0.00286362470447284,0.00556749361618875,0.000982120805714803,0.0304065920878541,0.0546252985375775,0.166253084161179,1,8.5265128291212e-14,3.98552718605671e-14,11.4668869007183,44.9217106973958,0,0,5.7189,1.5791,14.9431279,1,ok,4.53891541561491e-05,6.12651486471827e-05,0.000707532334185166
T4_rate_0p03,T4,0.1,0.03,0.00141473523259756,0.0422957748233201,0.0156767739907393,3.95406172550555,3.36253704853621,0.0365705417178341,0.00931834258416641,4.29544037637513,4.24661221989802,0.108947117471069,0.125906172424369,0.0940165882283463,0.105983411771647,0.0169590549533005,0.0119668235433008,1,0.0263994676335166,0.098177292405765,0.104349869211518,0.1023305495756,0.00299826519123067,0.104018080051205,0.0559959646425089,0.581650158850145,0.00973480192812692,-0.0085596656108464,-0.00297391264071715,0.00331465597003388,0.000906567457896029,0.0304065920878541,0.0363714785361888,0.152414810471927,1,9.9475983006414e-14,4.96911539693556e-14,11.4668869007183,44.925315400005,0,0,5.8395,1.7238,14.5844589,1,ok,NaN,NaN,NaN
T4_rate_0p08,T4,0.1,0.08,0.00372618472013293,0.116873841780709,0.0155275499054328,1.48370208082754,1.26095139320108,0.103149094389148,0.0248560695099327,11.5024425165765,11.3763721273124,0.100812087063602,0.13941865893665,0.0840329914040544,0.115967008595946,0.0386065718730482,0.0319340171918943,1,0.0725254038060288,0.261817333903488,0.184864384133832,0.272891622446314,0.0198600769288146,0.173521403262328,0.151053164355965,0.572040555534539,0.0192880386632215,-0.00991726752610339,-0.00349165297051987,0.0119929719436225,0.00123067816339501,0.0356071248561645,0.0822710670958485,0.206042168543549,1,7.105427357601e-14,4.58322615970452e-14,11.4514506802996,44.91630308976,0,0,5.9605,1.9588,17.492658,1,ok,NaN,NaN,NaN
T5_vx_0p05,T5,0.05,0.05,0.00206605428217148,0.0585388450679266,0.00781828848242826,1.1833570151314,1.00876111456086,0.0353066826520544,0.00953004648727764,7.17021277549046,7.11627539274252,0.046721788892655,0.07286816731341,0.0400221550950905,0.0599778449049128,0.0261463784207549,0.0199556898098228,1,0.0353169673764629,0.167017904153803,0.106286581533624,0.174304804464921,0.0042635539260477,0.107242374288951,0.0564933621761517,0.281330360236352,0.00890757366281492,-0.0078691114446844,-0.00240398886206809,0.00284543495560878,0.000571962791127559,0.0152566253715056,0.032318010622225,0.0971985349520072,1,8.5265128291212e-14,4.3826487577947e-14,11.7409286827545,44.9561838017214,0,0,5.2629,1.6908,14.7720355,1,ok,NaN,NaN,NaN
T5_vx_0p15,T5,0.15,0.05,0.00238021581524832,0.074124800263252,0.0233947856448735,3.55949241540507,3.0262833436826,0.089974988578414,0.0215841679582049,7.2129522058475,7.08157030264214,0.163925093479542,0.189364062249122,0.140095141052291,0.159904858947709,0.0254389687695807,0.0198097178954021,1,0.0459169135503174,0.177095185553293,0.172232451741465,0.167130211751329,0.0108005106422638,0.163441236033307,0.151623888854623,0.885196374532911,0.0179677979457193,-0.00882137837110053,-0.00353723313017768,0.0106220112678347,0.00139988409102501,0.0454451392917078,0.0766117344321999,0.239179131161377,1,8.5265128291212e-14,5.08169895052646e-14,11.1811060255731,44.8867985475838,0,0,5.5575,1.5978,14.3067321,1,ok,NaN,NaN,NaN
T6_s_curve,T6,0.1,0.04,0.0021985378368559,0.0428344442285146,0.012673480736367,3.08442926437609,2.53921512461337,0.0169021730408933,0.00871342539789326,3.44720079573139,-0.0147900549954115,0.110827620652243,0.134282315767118,0.092098775572262,0.107901224427738,0.0234546951148746,0.0158024488554742,1,0.0298407867014216,0.135666180386284,0.113260140376767,0.147943453558148,0.00134727804156584,0.113257093307553,0.0576213752834712,0.591768939662363,0.00502151343691763,-0.00391342041652037,0.000128100428942991,0.00100781814250645,0.000834499455875695,0.0304065920878541,0.0123545448523484,0.152414810471927,1,7.105427357601e-14,4.92487994829816e-14,11.4668869007183,44.9235130714337,0,0,5.8008,1.5898,12.3445649,1,ok,NaN,NaN,NaN
