label,caseName,resultDir,stable,failureReason,recoveryStart,recoveryEnd,thetaPulseEndDeg,dthetaPulseEnd,thetaZeroTime,dthetaAtThetaZero,xAtThetaZero,firstULqrSatTime,firstMBySatTime,firstTauSatTime,firstTauHSatTime,firstTheta15Time,recoveryMaxAbsMBy,recoveryMaxAbsTauHref,recoveryMaxAbsTauH,recoveryRmsTauHError,recoveryMaxAbsTauHError,recoveryMeanAbsTauHError,recoveryMBySatFraction,recoveryTauHSatFraction,recoveryAnyTauSatFraction,recoveryAnyULqrSatFraction,recoveryQErrorRms,recoveryDqErrorRms,recoveryMaxQError,recoveryMaxDqError,tauHErrorAtThetaZero,tauHrefAtThetaZero,tauHAtThetaZero,MByAtThetaZero,tauRatioAtThetaZero,uRatioAtThetaZero,maxAbsThetaDeg,finalThetaDeg,finalDtheta,finalX
default_1x,pitch_-10deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260806_195701,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,11.2501042345899,0.315752693904641,2.78249227678146,-1.76238957103044,0.078408122302372,2.78,3.315,2.855,3.315,2.95,136.842052752253,136.842052752253,137.313153193374,0.247310962243474,1.26729537481181,0.126534495366781,0,0,0.227722772277228,0.386138613861386,1.1287778570086,32.6463067904563,3.43357521815459,159.857406337189,-0.054082403581013,-0.604829154787356,-0.658911558368369,0.604829154787356,0.164999810699381,0.955866861025633,1797.10150967126,1577.21076181455,50.0986813923015,-3.80764203360741
default_1x,pitch_0deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260806_195701,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,11.0811625354175,0.320752233087017,2.78340973547396,-1.83826529506876,0.0671743445827231,2.78,2.98,2.86,2.98,2.965,160,160,160,0.251015779995153,1.34804278621558,0.126637690161201,0.0099009900990099,0.0099009900990099,0.237623762376238,0.376237623762376,1.05040225505788,32.6500674079557,3.34590161743718,160.299685952289,-0.0463566669358118,-1.56235551639666,-1.60871218333247,1.56235551639666,0.135519350068385,0.991568063812023,1181.97609568359,-598.390186604449,0.407187565583236,-5.7644325363056
default_1x,pitch_10deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260806_195701,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,10.944741649685,0.323495351287458,2.79349187565711,-3.26002105827787,0.0495086674384048,2.755,2.945,2.8,2.945,2.985,160,160,160,0.330350764128552,1.31474876061409,0.187172121714173,0.0198019801980198,0.0198019801980198,0.346534653465347,0.475247524752475,1.54755962045678,45.8552575849732,4.86952827152123,200.217667682789,0.0329935153468275,-28.7384744277433,-28.7054809123965,28.7384744277433,0.549876950890731,1,1682.05199196748,-1171.90394135715,75.9945756240257,-3.65797006035495
round1_best,pitch_-10deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260806_220040,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,11.2815338946769,0.200511524472734,2.7400986113977,-1.94839468118999,0.0592355340312957,2.735,2.975,2.84,2.975,2.87,160,160,160,0.260049423376272,1.61945717509867,0.122050008116172,0.0099009900990099,0.0099009900990099,0.257425742574257,0.475247524752475,1.20305523847831,35.2252301866582,3.77959056248709,181.237030706563,-0.0252512599613432,-2.05366836748742,-2.07891962744876,2.05366836748742,0.0566001186456244,1,3596.01309411548,-3596.01309411548,-172.26174858726,-1.14988533614761
round1_best,pitch_0deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260806_220040,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,11.2178575025125,0.2057638319015,2.7366236670351,-2.03918870596711,0.0484147099104048,2.725,2.94,2.845,2.94,2.865,160,160,159.300291917185,0.315791936815879,2.11070534604895,0.147284109876245,0.0198019801980198,0.0198019801980198,0.227722772277228,0.514851485148515,1.59262849070686,38.5708210563284,5.50906192007448,230.294114275416,-0.0230343551788551,-2.56203445650142,-2.58506881168028,2.56203445650142,0.0650019911876368,1,396.292033380635,-88.0753897401217,8.01091313957539,-2.01121297528706
round1_best,pitch_10deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260806_220040,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,11.0788068981364,0.210147809833832,2.74214920355542,-1.90287854549418,0.0310159792084683,2.73,2.98,2.865,2.98,2.88,160,160,160,0.247521723811553,1.17314174513052,0.123296049474009,0.0099009900990099,0.0099009900990099,0.237623762376238,0.495049504950495,1.06124124621392,28.3616127126646,3.39703531550501,170.475899906505,-0.0229903244651782,-2.085942606997,-2.10893293146218,2.085942606997,0.0572222448034405,1,50.6156276688537,9.0824592777957,-4.07537222674386,-0.386742436762252
round2_best,pitch_-10deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260807_182335,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,10.2135366690774,-0.0705919315061663,2.69208372916437,-1.66575822099025,0.0461458783316172,2.695,3.325,3.075,3.325,2.82838909649946,3.59269458997242,3.59269458997242,3.60526736211343,0.0154729166685723,0.0232713500264028,0.0149713663792727,0,0,0,0.613861386138614,0.341249340434695,0.50363808239578,0.448146320056542,1.22100243212231,-0.0231151478409883,-1.01610830236655,-1.03922345020754,1.01610830236655,0.0578359942889351,0.952033354327289,66.5116274954969,-16.1362467629141,0.881083827062954,-1.25200374184427
round2_best,pitch_0deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260807_182335,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,10.0524484885998,-0.0683721018591132,2.68981296005864,-1.66867730497561,0.0326301994656514,2.69,3.31,3.105,3.5,2.825,3.76156642040328,3.76156642040328,3.77399630636436,0.0155540960463812,0.023473013525656,0.0150624896557461,0,0,0,0.623762376237624,0.362028277116617,0.621147560565645,0.457178369855842,1.3889126267963,-0.023462418405825,-1.02840460353786,-1.05186702194368,1.02840460353786,0.0575668839160832,0.973531486629002,65.0625868683411,-44.2850282447868,-1.00688256790681,-1.42589083667631
round2_best,pitch_10deg_pulse_10N,D:\Workspace\CodeWorkspace\calibration\results\studies\2026_08_lqr_disturbance_response\20260807_182335,0,max theta too large; final theta not settled; final dtheta not settled; tau near saturation; x drift too large,2.5,3,9.90566723219071,-0.090131153661465,2.6720441282072,-2.00192691091852,0.0110345276922951,2.655,2.96,2.875,2.96,2.775,160,160,157.832442488052,0.298982420259397,2.16755751194833,0.120135911686742,0.0099009900990099,0.0099009900990099,0.188118811881188,0.673267326732673,1.48729362714756,36.8263737373039,5.91887682804691,237.297536062424,-0.0189953304676966,-1.84182551984402,-1.86082085031171,1.84182551984402,0.0810523742962255,1,652.139706775041,-195.992933464637,-9.97367807372316,-1.1253542979767
