time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
0.205,0,-0,-0.00108498543659089,-0.0162322684938309,-0.019127774885893,-0.18115743811749,0.581451346653008
0.21,0,-0,-0.0011574154801366,-0.0171594724860516,-0.0200468726071935,-0.185147501278725,0.581536425105445
0.215,0,-0,-0.00123271660152152,-0.0180974237922423,-0.0209857461632078,-0.189085086656872,0.581626880388587
0.22,0,-0,-0.00131091691594094,-0.01904548293035,-0.0219441263507191,-0.192968151417546,0.581722631541897
0.225,0,-0,-0.00139204251746733,-0.0200030410581471,-0.0229217343690789,-0.196794838112692,0.581823596466074
0.23,0,-0,-0.0014761174754777,-0.0209695155167741,-0.0239182827381419,-0.200563468594482,0.58192969133431
0.235,0,-0,-0.00156316384115676,-0.0219443460609337,-0.0249334760558893,-0.204272507507098,0.582040829516235
0.24,0,-0,-0.00165320165857823,-0.0229269922354335,-0.0259670116995137,-0.207920554348423,0.582156921566549
0.245,0,-0,-0.00174624897497487,-0.0239169312798337,-0.0270185803685191,-0.211506308997641,0.582277874692061
0.25,0,-0,-0.00184232185316158,-0.0249136568937647,-0.0280878665963906,-0.215028570023612,0.582403593211484
0.255,0,-0,-0.00194143438542527,-0.0259166781788803,-0.0291745491369033,-0.218486207303875,0.582533978354254
0.26,0,-0,-0.00204359870901458,-0.0269255191290715,-0.03027830136034,-0.221878168918223,0.58266892898507
0.265,0,-0,-0.00214882502264268,-0.0279397179989575,-0.0313987915495555,-0.225203457537719,0.582808341482239
